Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Transcript start (bp)	Transcript end (bp)
YGL167C	YGL167C.1	YGL167C	YGL167C.1	187616	190468
YDL165W	YDL165W.1	YDL165W	YDL165W.1	164290	164865
YLR154C-H	YLR154C-H.1	YLR154C-H	YLR154C-H.1	468827	468958
YPL119C-A	YPL119C-A.1	YPL119C-A	YPL119C-A.1	324024	324287
YIL143C	YIL143C.1	YIL143C	YIL143C.1	80510	83041
YBR292C	YBR292C.1	YBR292C	YBR292C.1	784702	785073
YGR240C	YGR240C.1	YGR240C	YGR240C.1	970771	973734
YOR094W	YOR094W.1	YOR094W	YOR094W.1	502795	503346
YDR167W	YDR167W.1	YDR167W	YDR167W.1	789449	790069
YBR063C	YBR063C.1	YBR063C	YBR063C.1	366970	368184
YER052C	YER052C.1	YER052C	YER052C.1	256375	257958
YGR178C	YGR178C.1	YGR178C	YGR178C.1	851047	853215
YPL118W	YPL118W.1	YPL118W	YPL118W.1	326628	327662
YPR187W	YPR187W.1	YPR187W	YPR187W.1	911257	911800
YJL065C	YJL065C.1	YJL065C	YJL065C.1	315054	315557
YOL141W	YOL141W.1	YOL141W	YOL141W.1	56452	58539
YPR086W	YPR086W.1	YPR086W	YPR086W.1	710101	711138
YBR122C	YBR122C.1	YBR122C	YBR122C.1	483970	484503
YBR271W	YBR271W.1	YBR271W	YBR271W.1	744852	746111
YBR279W	YBR279W.1	YBR279W	YBR279W.1	761257	762594
YHR095W	YHR095W.1	YHR095W	YHR095W.1	292943	293437
YMR221C	YMR221C.1	YMR221C	YMR221C.1	713931	715445
YDR241W	YDR241W.1	YDR241W	YDR241W.1	945151	945438
YJL221C	YJL221C.1	YJL221C	YJL221C.1	16767	18536
YER130C	YER130C.1	YER130C	YER130C.1	421115	422446
YBR155W	YBR155W.1	YBR155W	YBR155W.1	549771	550928
YDR363W	YDR363W.1	YDR363W	YDR363W.1	1199183	1200553
YGR266W	YGR266W.1	YGR266W	YGR266W.1	1022656	1024761
YLR443W	YLR443W.1	YLR443W	YLR443W.1	1022625	1023971
YPL147W	YPL147W.1	YPL147W	YPL147W.1	273255	275867
YAL034C	YAL034C.1	YAL034C	YAL034C.1	80710	81951
YBR067C	YBR067C.1	YBR067C	YBR067C.1	372103	372735
YCR095C	YCR095C.1	YCR095C	YCR095C.1	288170	289258
YLR270W	YLR270W.1	YLR270W	YLR270W.1	681186	682238
YPR084W	YPR084W.1	YPR084W	YPR084W.1	706972	708342
YBR184W	YBR184W.1	YBR184W	YBR184W.1	597363	598934
YMR113W	YMR113W.1	YMR113W	YMR113W.1	494999	496282
YGR035C	YGR035C.1	YGR035C	YGR035C.1	557072	557422
YDL222C	YDL222C.1	YDL222C	YDL222C.1	60872	61801
YCL008C	YCL008C.1	YCL008C	YCL008C.1	105696	106853
YEL065W	YEL065W.1	YEL065W	YEL065W.1	27657	29543
YNL335W	YNL335W.1	YNL335W	YNL335W.1	11452	12129
YMR296C	YMR296C.1	YMR296C	YMR296C.1	859215	860891
YDR232W	YDR232W.1	YDR232W	YDR232W.1	927452	929098
YGR190C	YGR190C.1	YGR190C	YGR190C.1	880296	880661
YHR116W	YHR116W.1	YHR116W	YHR116W.1	341665	342120
YDR313C	YDR313C.1	YDR313C	YDR313C.1	1089219	1090079
YFR018C	YFR018C.1	YFR018C	YFR018C.1	183131	184222
YKL007W	YKL007W.1	YKL007W	YKL007W.1	429302	430108
YIL048W	YIL048W.1	YIL048W	YIL048W.1	261437	264892
YDL213C	YDL213C.1	YDL213C	YDL213C.1	77289	77966
YDR443C	YDR443C.1	YDR443C	YDR443C.1	1345676	1349938
YNL292W	YNL292W.1	YNL292W	YNL292W.1	82806	84017
YKL183C-A	YKL183C-A.1	YKL183C-A	YKL183C-A.1	98395	98607
YOR324C	YOR324C.1	YOR324C	YOR324C.1	923232	925040
YNL134C	YNL134C.1	YNL134C	YNL134C.1	372451	373581
YKL100C	YKL100C.1	YKL100C	YKL100C.1	253697	255460
YOR192C-B	YOR192C-B.1	YOR192C-B	YOR192C-B.1	704419	709732
YPL021W	YPL021W.1	YPL021W	YPL021W.1	511101	511664
YIL146C	YIL146C.1	YIL146C	YIL146C.1	74184	75773
YLR299C-A	YLR299C-A.1	YLR299C-A	YLR299C-A.1	727911	728003
YNL218W	YNL218W.1	YNL218W	YNL218W.1	238238	240001
YIL121W	YIL121W.1	YIL121W	YIL121W.1	132244	133872
YNL228W	YNL228W.1	YNL228W	YNL228W.1	220645	221421
YDL167C	YDL167C.1	YDL167C	YDL167C.1	160995	163154
YPL214C	YPL214C.1	YPL214C	YPL214C.1	148569	150191
YOR228C	YOR228C.1	YOR228C	YOR228C.1	766869	767777
YBR270C	YBR270C.1	YBR270C	YBR270C.1	742761	744398
YGR222W	YGR222W.1	YGR222W	YGR222W.1	939923	940804
YEL063C	YEL063C.1	YEL063C	YEL063C.1	31694	33466
YAL068W-A	YAL068W-A.1	YAL068W-A	YAL068W-A.1	538	792
YML020W	YML020W.1	YML020W	YML020W.1	231149	233143
YGR121C	YGR121C.1	YGR121C	YGR121C.1	731449	732927
YBR222C	YBR222C.1	YBR222C	YBR222C.1	666720	668351
YDL095W	YDL095W.1	YDL095W	YDL095W.1	287059	289512
YDL003W	YDL003W.1	YDL003W	YDL003W.1	444683	446383
YOR323C	YOR323C.1	YOR323C	YOR323C.1	921535	922905
YMR183C	YMR183C.1	YMR183C	YMR183C.1	626921	627808
YOR274W	YOR274W.1	YOR274W	YOR274W.1	837674	838960
YER146W	YER146W.1	YER146W	YER146W.1	462585	462866
YML075C	YML075C.1	YML075C	YML075C.1	115734	118898
YOL035C	YOL035C.1	YOL035C	YOL035C.1	258803	259105
YPL063W	YPL063W.1	YPL063W	YPL063W.1	429939	431369
YDR457W	YDR457W.1	YDR457W	YDR457W.1	1369790	1379596
YLR273C	YLR273C.1	YLR273C	YLR273C.1	689083	691029
YDR181C	YDR181C.1	YDR181C	YDR181C.1	825910	827355
YLR434C	YLR434C.1	YLR434C	YLR434C.1	1006025	1006408
YGL097W	YGL097W.1	YGL097W	YGL097W.1	321782	323230
YCL056C	YCL056C.1	YCL056C	YCL056C.1	26925	27359
YJL083W	YJL083W.1	YJL083W	YJL083W.1	278841	280655
YMR242W-A	YMR242W-A.1	YMR242W-A	YMR242W-A.1	754297	754386
YOR026W	YOR026W.1	YOR026W	YOR026W.1	379781	380806
YPL140C	YPL140C.1	YPL140C	YPL140C.1	287514	289034
YNR016C	YNR016C.1	YNR016C	YNR016C.1	654673	661374
YER123W	YER123W.1	YER123W	YER123W.1	404813	406387
YGR055W	YGR055W.1	YGR055W	YGR055W.1	599417	601141
YKR054C	YKR054C.1	YKR054C	YKR054C.1	535647	547925
YMR315W	YMR315W.1	YMR315W	YMR315W.1	902800	903849
YAL024C	YAL024C.1	YAL024C	YAL024C.1	101565	105872
YKL202W	YKL202W.1	YKL202W	YKL202W.1	63821	64402
YKL187C	YKL187C.1	YKL187C	YKL187C.1	89284	91536
YDR383C	YDR383C.1	YDR383C	YDR383C.1	1239960	1240676
YDR396W	YDR396W.1	YDR396W	YDR396W.1	1266295	1266795
YGR115C	YGR115C.1	YGR115C	YGR115C.1	720372	721151
YKL055C	YKL055C.1	YKL055C	YKL055C.1	335321	336157
YDR035W	YDR035W.1	YDR035W	YDR035W.1	521816	522928
YBL062W	YBL062W.1	YBL062W	YBL062W.1	105308	105688
YHR160C	YHR160C.1	YHR160C	YHR160C.1	419221	420072
YGR047C	YGR047C.1	YGR047C	YGR047C.1	586392	589469
YDR119W	YDR119W.1	YDR119W	YDR119W.1	688227	690533
YBR208C	YBR208C.1	YBR208C	YBR208C.1	636703	642210
YER151C	YER151C.1	YER151C	YER151C.1	469686	472424
YLR070C	YLR070C.1	YLR070C	YLR070C.1	274141	275211
YPR019W	YPR019W.1	YPR019W	YPR019W.1	596750	599551
YPL228W	YPL228W.1	YPL228W	YPL228W.1	118382	120031
YPR190C	YPR190C.1	YPR190C	YPR190C.1	917077	919041
YGR041W	YGR041W.1	YGR041W	YGR041W.1	577487	579130
YDR353W	YDR353W.1	YDR353W	YDR353W.1	1183299	1184258
YHR097C	YHR097C.1	YHR097C	YHR097C.1	297385	298609
YPL047W	YPL047W.1	YPL047W	YPL047W.1	465962	466261
YPL014W	YPL014W.1	YPL014W	YPL014W.1	527547	528692
YGR007W	YGR007W.1	YGR007W	YGR007W.1	506969	507940
YML116W	YML116W.1	YML116W	YML116W.1	38196	39824
YOL137W	YOL137W.1	YOL137W	YOL137W.1	65621	67114
YGL155W	YGL155W.1	YGL155W	YGL155W.1	214081	215211
YER061C	YER061C.1	YER061C	YER061C.1	278298	279626
YKL214C	YKL214C.1	YKL214C	YKL214C.1	31082	31693
YPL119C	YPL119C.1	YPL119C	YPL119C.1	324411	326264
YDL125C	YDL125C.1	YDL125C	YDL125C.1	239019	239606
YHR186C	YHR186C.1	YHR186C	YHR186C.1	475999	480672
YKL011C	YKL011C.1	YKL011C	YKL011C.1	420155	421216
YLL019C	YLL019C.1	YLL019C	YLL019C.1	105686	107899
YNL257C	YNL257C.1	YNL257C	YNL257C.1	160631	164320
YGL199C	YGL199C.1	YGL199C	YGL199C.1	123572	124042
YJR092W	YJR092W.1	YJR092W	YJR092W.1	598735	603078
YDR010C	YDR010C.1	YDR010C	YDR010C.1	465051	465383
YBL059W	YBL059W.1	YBL059W	YBL059W.1	110594	111244
YBR291C	YBR291C.1	YBR291C	YBR291C.1	783673	784572
YPL189C-A	YPL189C-A.1	YPL189C-A	YPL189C-A.1	188307	188513
YDR262W	YDR262W.1	YDR262W	YDR262W.1	993134	993952
YFL012W	YFL012W.1	YFL012W	YFL012W.1	110647	111093
YLR078C	YLR078C.1	YLR078C	YLR078C.1	285736	286559
YDR072C	YDR072C.1	YDR072C	YDR072C.1	589761	591344
YDR179C	YDR179C.1	YDR179C	YDR179C.1	818708	819196
YKL153W	YKL153W.1	YKL153W	YKL153W.1	163600	164109
YOR108C-A	YOR108C-A.1	YOR108C-A	YOR108C-A.1	524605	524814
YGR220C	YGR220C.1	YGR220C	YGR220C.1	936074	936883
YIL053W	YIL053W.1	YIL053W	YIL053W.1	255115	255867
YMR161W	YMR161W.1	YMR161W	YMR161W.1	577718	578392
YER011W	YER011W.1	YER011W	YER011W.1	175248	176012
YDR258C	YDR258C.1	YDR258C	YDR258C.1	971808	974243
YDR467C	YDR467C.1	YDR467C	YDR467C.1	1397583	1397909
YGL162W	YGL162W.1	YGL162W	YGL162W.1	198138	199037
YNL243W	YNL243W.1	YNL243W	YNL243W.1	188051	190957
YBR234C	YBR234C.1	YBR234C	YBR234C.1	685438	686592
YNL047C	YNL047C.1	YNL047C	YNL047C.1	539911	541881
YKL038W	YKL038W.1	YKL038W	YKL038W.1	365605	369117
YFL053W	YFL053W.1	YFL053W	YFL053W.1	23423	25198
YOR200W	YOR200W.1	YOR200W	YOR200W.1	720417	720815
YKR060W	YKR060W.1	YKR060W	YKR060W.1	556518	557342
YPR200C	YPR200C.1	YPR200C	YPR200C.1	939279	939671
YLR411W	YLR411W.1	YLR411W	YLR411W.1	947253	947978
YLR318W	YLR318W.1	YLR318W	YLR318W.1	766542	769196
YHR150W	YHR150W.1	YHR150W	YHR150W.1	397251	398990
YGL219C	YGL219C.1	YGL219C	YGL219C.1	82878	84257
YFL009W	YFL009W.1	YFL009W	YFL009W.1	116145	118484
YBR045C	YBR045C.1	YBR045C	YBR045C.1	328173	330092
YMR039C	YMR039C.1	YMR039C	YMR039C.1	348644	349522
YKL195W	YKL195W.1	YKL195W	YKL195W.1	75821	77032
YPR127W	YPR127W.1	YPR127W	YPR127W.1	790083	791120
YPL188W	YPL188W.1	YPL188W	YPL188W.1	191406	192650
YGL147C	YGL147C.1	YGL147C	YGL147C.1	227754	228329
YDR217C	YDR217C.1	YDR217C	YDR217C.1	899551	903480
YML015C	YML015C.1	YML015C	YML015C.1	241989	243029
YJR126C	YJR126C.1	YJR126C	YJR126C.1	656254	658689
YPR026W	YPR026W.1	YPR026W	YPR026W.1	615379	619014
YHR073W	YHR073W.1	YHR073W	YHR073W.1	242582	245572
YMR274C	YMR274C.1	YMR274C	YMR274C.1	814364	815311
YMR008C	YMR008C.1	YMR008C	YMR008C.1	280590	282584
YHR125W	YHR125W.1	YHR125W	YHR125W.1	358858	359163
YER119C-A	YER119C-A.1	YER119C-A	YER119C-A.1	400867	401238
YDL227C	YDL227C.1	YDL227C	YDL227C.1	46271	48031
YOR197W	YOR197W.1	YOR197W	YOR197W.1	717086	718384
YDR034C-C	YDR034C-C.1	YDR034C-C	YDR034C-C.1	518040	519356
YNL081C	YNL081C.1	YNL081C	YNL081C.1	476188	476619
YKL096W-A	YKL096W-A.1	YKL096W-A	YKL096W-A.1	259253	259531
YDR532C	YDR532C.1	YDR532C	YDR532C.1	1499396	1500553
YNL319W	YNL319W.1	YNL319W	YNL319W.1	38642	39082
YDR049W	YDR049W.1	YDR049W	YDR049W.1	553254	555152
YBR113W	YBR113W.1	YBR113W	YBR113W.1	465566	466048
YKL170W	YKL170W.1	YKL170W	YKL170W.1	130634	131050
YJL043W	YJL043W.1	YJL043W	YJL043W.1	360130	360903
YGL047W	YGL047W.1	YGL047W	YGL047W.1	411552	412160
YLR006C	YLR006C.1	YLR006C	YLR006C.1	161755	163893
YHR079C	YHR079C.1	YHR079C	YHR079C.1	258244	261591
YPR171W	YPR171W.1	YPR171W	YPR171W.1	883828	885558
YML063W	YML063W.1	YML063W	YML063W.1	146482	147249
YLR178C	YLR178C.1	YLR178C	YLR178C.1	513162	513821
YHL029C	YHL029C.1	YHL029C	YHL029C.1	45929	47968
YJL090C	YJL090C.1	YJL090C	YJL090C.1	262757	265051
YBR008C	YBR008C.1	YBR008C	YBR008C.1	252563	254209
YDR372C	YDR372C.1	YDR372C	YDR372C.1	1221112	1222149
YOR184W	YOR184W.1	YOR184W	YOR184W.1	679357	680544
YHR218W	YHR218W.1	YHR218W	YHR218W.1	558014	559924
YMR203W	YMR203W.1	YMR203W	YMR203W.1	668492	669655
YBL006W-A	YBL006W-A.1	YBL006W-A	YBL006W-A.1	216711	216860
YIR008C	YIR008C.1	YIR008C	YIR008C.1	373077	374306
YBL024W	YBL024W.1	YBL024W	YBL024W.1	172534	174588
YDR317W	YDR317W.1	YDR317W	YDR317W.1	1102184	1103428
YOL166C	YOL166C.1	YOL166C	YOL166C.1	1000	1338
YJL087C	YJL087C.1	YJL087C	YJL087C.1	270002	272485
YJL038C	YJL038C.1	YJL038C	YJL038C.1	375115	375774
YDR043C	YDR043C.1	YDR043C	YDR043C.1	542674	543369
YHR028C	YHR028C.1	YHR028C	YHR028C.1	164978	167434
YOR340C	YOR340C.1	YOR340C	YOR340C.1	959202	960182
YCL044C	YCL044C.1	YCL044C	YCL044C.1	47111	48364
YEL072W	YEL072W.1	YEL072W	YEL072W.1	13720	14415
YFR022W	YFR022W.1	YFR022W	YFR022W.1	196833	199034
YIR010W	YIR010W.1	YIR010W	YIR010W.1	375431	377161
YBL008W	YBL008W.1	YBL008W	YBL008W.1	209653	212175
YMR178W	YMR178W.1	YMR178W	YMR178W.1	618479	619303
YOL008W	YOL008W.1	YOL008W	YOL008W.1	310312	310935
YHR017W	YHR017W.1	YHR017W	YHR017W.1	138694	139851
YKR101W	YKR101W.1	YKR101W	YKR101W.1	640540	642504
YMR095C	YMR095C.1	YMR095C	YMR095C.1	457285	457959
YHR198C	YHR198C.1	YHR198C	YHR198C.1	496315	497280
YOR076C	YOR076C.1	YOR076C	YOR076C.1	469377	471620
YGL015C	YGL015C.1	YGL015C	YGL015C.1	465043	465435
YNL219C	YNL219C.1	YNL219C	YNL219C.1	235996	237663
YLR210W	YLR210W.1	YLR210W	YLR210W.1	562008	563390
YIL034C	YIL034C.1	YIL034C	YIL034C.1	289226	290089
YLR148W	YLR148W.1	YLR148W	YLR148W.1	434641	437397
YOR342C	YOR342C.1	YOR342C	YOR342C.1	966666	967625
YOL070C	YOL070C.1	YOL070C	YOL070C.1	197220	198725
YDL160C	YDL160C.1	YDL160C	YDL160C.1	170410	171930
YIL043C	YIL043C.1	YIL043C	YIL043C.1	274072	274926
YLR124W	YLR124W.1	YLR124W	YLR124W.1	391600	391944
YGR231C	YGR231C.1	YGR231C	YGR231C.1	952548	953480
YPR202W	YPR202W.1	YPR202W	YPR202W.1	943032	943896
YGR034W	YGR034W.1	YGR034W	YGR034W.1	555812	556672
YMR266W	YMR266W.1	YMR266W	YMR266W.1	798518	801379
YNL021W	YNL021W.1	YNL021W	YNL021W.1	593227	595347
YPL107W	YPL107W.1	YPL107W	YPL107W.1	349119	349865
YGR088W	YGR088W.1	YGR088W	YGR088W.1	654634	656322
YHR173C	YHR173C.1	YHR173C	YHR173C.1	450815	451153
YCR063W	YCR063W.1	YCR063W	YCR063W.1	228318	228791
YHR073W-A	YHR073W-A.1	YHR073W-A	YHR073W-A.1	242868	243044
YDL048C	YDL048C.1	YDL048C	YDL048C.1	366739	368211
YML092C	YML092C.1	YML092C	YML092C.1	85987	86739
YPR097W	YPR097W.1	YPR097W	YPR097W.1	725394	728615
YBR201C-A	YBR201C-A.1	YBR201C-A	YBR201C-A.1	624493	624696
YNL056W	YNL056W.1	YNL056W	YNL056W.1	517249	517842
YAL020C	YAL020C.1	YAL020C	YAL020C.1	113614	114615
YDL025C	YDL025C.1	YDL025C	YDL025C.1	405344	407206
YDL243C	YDL243C.1	YDL243C	YDL243C.1	17577	18566
YFL017C	YFL017C.1	YFL017C	YFL017C.1	103983	104462
YGL197W	YGL197W.1	YGL197W	YGL197W.1	124698	129161
YLR256W-A	YLR256W-A.1	YLR256W-A	YLR256W-A.1	651117	652439
YHR092C	YHR092C.1	YHR092C	YHR092C.1	287081	288811
YLL011W	YLL011W.1	YLL011W	YLL011W.1	127523	128992
YDR379C-A	YDR379C-A.1	YDR379C-A	YDR379C-A.1	1233278	1233517
YDR113C	YDR113C.1	YDR113C	YDR113C.1	680496	681617
YLR189C	YLR189C.1	YLR189C	YLR189C.1	530797	534393
YNR074C	YNR074C.1	YNR074C	YNR074C.1	777602	778738
YOL159C	YOL159C.1	YOL159C	YOL159C.1	17281	17796
YDL247W	YDL247W.1	YDL247W	YDL247W.1	5985	7814
YFL028C	YFL028C.1	YFL028C	YFL028C.1	79344	80213
YML032C	YML032C.1	YML032C	YML032C.1	212515	213930
YBR256C	YBR256C.1	YBR256C	YBR256C.1	727386	728102
YOR081C	YOR081C.1	YOR081C	YOR081C.1	476939	479188
YLR442C	YLR442C.1	YLR442C	YLR442C.1	1019315	1022251
YPL024W	YPL024W.1	YPL024W	YPL024W.1	503517	504242
YMR257C	YMR257C.1	YMR257C	YMR257C.1	779629	782031
YDL219W	YDL219W.1	YDL219W	YDL219W.1	65242	65765
YKL122C	YKL122C.1	YKL122C	YKL122C.1	212495	212998
YKR040C	YKR040C.1	YKR040C	YKR040C.1	518063	518566
YDL080C	YDL080C.1	YDL080C	YDL080C.1	310642	312471
YGL240W	YGL240W.1	YGL240W	YGL240W.1	48613	49365
YEL001C	YEL001C.1	YEL001C	YEL001C.1	150301	150978
YLR374C	YLR374C.1	YLR374C	YLR374C.1	871453	871842
YPR168W	YPR168W.1	YPR168W	YPR168W.1	878076	878549
YDL034W	YDL034W.1	YDL034W	YDL034W.1	391783	392127
YHR109W	YHR109W.1	YHR109W	YHR109W.1	330310	332067
YJL060W	YJL060W.1	YJL060W	YJL060W.1	323386	324720
YPL061W	YPL061W.1	YPL061W	YPL061W.1	432588	434090
YDR223W	YDR223W.1	YDR223W	YDR223W.1	912099	913502
YER174C	YER174C.1	YER174C	YER174C.1	538434	539168
YGR104C	YGR104C.1	YGR104C	YGR104C.1	697445	698368
YLR240W	YLR240W.1	YLR240W	YLR240W.1	617533	620160
YPR062W	YPR062W.1	YPR062W	YPR062W.1	677165	677641
YDR402C	YDR402C.1	YDR402C	YDR402C.1	1272234	1273703
YLR037C	YLR037C.1	YLR037C	YLR037C.1	222685	223059
YMR146C	YMR146C.1	YMR146C	YMR146C.1	557481	558524
YGR241C	YGR241C.1	YGR241C	YGR241C.1	974875	976581
YGL062W	YGL062W.1	YGL062W	YGL062W.1	385196	388732
YPR057W	YPR057W.1	YPR057W	YPR057W.1	672471	673496
YIL012W	YIL012W.1	YIL012W	YIL012W.1	333011	333352
YDR156W	YDR156W.1	YDR156W	YDR156W.1	769525	769938
YJR113C	YJR113C.1	YJR113C	YJR113C.1	638232	638975
YLR416C	YLR416C.1	YLR416C	YLR416C.1	954491	954889
YPR131C	YPR131C.1	YPR131C	YPR131C.1	793911	794498
YLR029C	YLR029C.1	YLR029C	YLR029C.1	201976	202590
YMR155W	YMR155W.1	YMR155W	YMR155W.1	568551	570194
YNL180C	YNL180C.1	YNL180C	YNL180C.1	299654	300649
YGR164W	YGR164W.1	YGR164W	YGR164W.1	828625	828960
YOL106W	YOL106W.1	YOL106W	YOL106W.1	113226	113579
YIL140W	YIL140W.1	YIL140W	YIL140W.1	85366	87837
YIL171W-A	YIL171W-A.1	YIL171W-A	YIL171W-A.1	18260	18712
YDR272W	YDR272W.1	YDR272W	YDR272W.1	1009010	1009834
YDR114C	YDR114C.1	YDR114C	YDR114C.1	681924	682226
YOR238W	YOR238W.1	YOR238W	YOR238W.1	783677	784588
YPR077C	YPR077C.1	YPR077C	YPR077C.1	697131	697502
YKL142W	YKL142W.1	YKL142W	YKL142W.1	178515	179174
YLR139C	YLR139C.1	YLR139C	YLR139C.1	421542	423473
YNR044W	YNR044W.1	YNR044W	YNR044W.1	703699	705876
YPR009W	YPR009W.1	YPR009W	YPR009W.1	576552	577358
YHR032W	YHR032W.1	YHR032W	YHR032W.1	173344	175089
YDR429C	YDR429C.1	YDR429C	YDR429C.1	1324477	1325301
YGL079W	YGL079W.1	YGL079W	YGL079W.1	359444	360100
YNR031C	YNR031C.1	YNR031C	YNR031C.1	680694	685433
YHR084W	YHR084W.1	YHR084W	YHR084W.1	274174	276240
YOR004W	YOR004W.1	YOR004W	YOR004W.1	333592	334356
YMR086C-A	YMR086C-A.1	YMR086C-A	YMR086C-A.1	442026	442364
YMR233W	YMR233W.1	YMR233W	YMR233W.1	739185	739865
YMR244W	YMR244W.1	YMR244W	YMR244W.1	757250	758317
YLL010C	YLL010C.1	YLL010C	YLL010C.1	129330	130613
YNL188W	YNL188W.1	YNL188W	YNL188W.1	286308	287609
YKL156C-A	YKL156C-A.1	YKL156C-A	YKL156C-A.1	158975	159091
YNL104C	YNL104C.1	YNL104C	YNL104C.1	424895	426754
YIL005W	YIL005W.1	YIL005W	YIL005W.1	345692	347797
YOR365C	YOR365C.1	YOR365C	YOR365C.1	1023461	1025572
YNR030W	YNR030W.1	YNR030W	YNR030W.1	678799	680454
YBR265W	YBR265W.1	YBR265W	YBR265W.1	738582	739544
Q0055	Q0055.1	Q0055	Q0055.1	13818	18830
YGL131C	YGL131C.1	YGL131C	YGL131C.1	261648	265859
YDL162C	YDL162C.1	YDL162C	YDL162C.1	167359	167715
YDR246W-A	YDR246W-A.1	YDR246W-A	YDR246W-A.1	955133	955333
YHR033W	YHR033W.1	YHR033W	YHR033W.1	175548	176819
YNR040W	YNR040W.1	YNR040W	YNR040W.1	699690	700460
YNR034W	YNR034W.1	YNR034W	YNR034W.1	690321	691286
YEL076C	YEL076C.1	YEL076C	YEL076C.1	4464	5114
YHL046W-A	YHL046W-A.1	YHL046W-A	YHL046W-A.1	9981	10307
YDL071C	YDL071C.1	YDL071C	YDL071C.1	330666	331040
